url,label,category
https://pi.ai/talk, PI.ai, Conversational AI
https://www.perplexity.ai/, Perplexity.ai, Conversational AI
https://playground.com/, Playground AI, Generative AI
https://www.recraft.ai/, Recraft AI, Generative AI
https://fancyapps.com/fancybox/, Fancybox.js Lightbox, Resources
https://ui.aceternity.com/, Aceternity UI library, Resources
https://www.magicpattern.design/tools/css-backgrounds, CSS backgrounds, Resources
https://godly.website/, Website inspiration, inspiration
https://makereal.tldraw.com/, Draw new idea, Tools
https://codepen.io/shshaw/full/LVKEdv, PNG to SVG masked JPEG (reduce size), Tools
https://css-mask-generator.com,CSS Mask Generator, Tools
https://bennettfeely.com/clippy,Clippy - clip path generator, Tools
https://getcssscan.com/css-box-shadow-examples,CSS Box Shadow Examples, Examples
https://uiverse.io/buttons,UIverse, Resources
https://studio.swiperjs.com,SwiperJS Studio, Premium tools
https://clamp.font-size.app/,Clamp Font Size generator, Tools
https://jimbobsquarepants.github.io/ImageProcessor/imageprocessor-web/imageprocessingmodule/,Image Processor Docs, Documentation
https://docs.sixlabors.com/articles/imagesharp.web/processingcommands.html,ImageSharp Docs, Documentation
https://neumorphism.io/,Neumorphism.io, Inspiration
https://codepen.io/subfauna/pen/jOGgrr,Dark theme scrollbar, Examples
https://cssgrid-generator.netlify.app/,CSS Grid Generator, Tools
https://picocss.com/docs/, Pico Minimal CSS Framework for semantic HTML, Resources
https://animatedbackgrounds.me/, Animated Backgrounds, Resource
https://10015.io/tools/css-glassmorphism-generator, CSS Glassmorphism Generator, Tools
https://10015.io/tools/css-text-glitch-effect-generator, CSS Text Glitch Effect Generator, Tools
https://10015.io/tools/css-triangle-generator, CSS Triangle Generator, Tools
https://10015.io/tools/json-tree-viewer, JSON Tree Viewer, Tools
https://10015.io/tools/instagram-post-generator, Instagram Post Generator, Tools
https://10015.io/tools/tweet-generator, Tweet Generator, Tools
https://10015.io/tools/list-randomizer, List Randomizer, Tools
https://10015.io/tools/barcode-generator, Barcode Generator, Tools
https://hihayk.github.io/shaper/, Interface Style Generator, Tools
https://ui.glass/generator/, Glassmorphism CSS Generator, Tools
https://uncut.wtf/, Uncut Font Library, Resources
https://component.gallery/, Component Gallery, Resources
https://whirl.netlify.app/, Whirl - CSS Loading Animations, Resources
https://cloudconvert.com/svg-to-jpg, SVG to JPEG, Tools
https://codepen.io/shshaw/full/LVKEdv, PNG to SVG, Tools
https://excalidraw.com/, ExcaliDraw, Tools
https://pqina.nl/pintura/, Pintura - JS image editor, Tools
https://offlineconverter.com/image/svg-to-eps/, Convert SVG offline, Tools
https://lawsofux.com/, Laws of UX design, Learning
https://madewithreactjs.com/, Made with React, Inspiration
https://responsively.app/download, Responsively - responsive tool, Tools
https://docsearch.algolia.com/, Docsearch - Algolia CMD+K
https://floating-ui.com/, Floating UI React, Resources
https://simonwep.github.io/selection/?ref=madewithreactjs.com, React Selection js, Resources
https://dromru.github.io/react-photoswipe-gallery/?path=/story/demo-basic--basic&ref=madewithreactjs.com, React Photoswipe, Resources
